ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
12751234,JF305551,07/04/2022 11:01:00 PM,046XX S SPAULDING AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,true,true,0821,008,14,58,08B,1155161,1873610,2022,11/12/2022 03:46:21 PM,41.808990794,-87.70642393,"(41.808990794, -87.70642393)"
12752603,JF307322,07/01/2022 03:30:00 PM,027XX W 83RD ST,0820,THEFT,$500 AND UNDER,RESIDENCE - PORCH / HALLWAY,false,false,0835,008,18,70,06,1159710,1849483,2022,11/12/2022 03:46:21 PM,41.742690598,-87.69040058,"(41.742690598, -87.69040058)"
12599123,JF121053,01/21/2022 07:38:00 PM,041XX S PULASKI RD,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,false,false,0815,008,14,57,06,1150366,1876767,2022,11/12/2022 03:46:21 PM,41.817748687,-87.723929123,"(41.817748687, -87.723929123)"
12753223,JF307790,07/06/2022 05:28:00 PM,079XX S CICERO AVE,051A,ASSAULT,AGGRAVATED - HANDGUN,PARKING LOT / GARAGE (NON RESIDENTIAL),true,false,0834,008,18,70,04A,1145799,1851573,2022,11/12/2022 03:46:21 PM,41.748699846,-87.741318814,"(41.748699846, -87.741318814)"
12747611,JF300961,06/29/2022 10:00:00 AM,039XX W 69TH PL,0810,THEFT,OVER $500,RESIDENCE,false,false,0833,008,13,65,06,1151310,1858224,2022,11/12/2022 03:46:21 PM,41.766845476,-87.720950738,"(41.766845476, -87.720950738)"
12748438,JF302081,07/02/2022 01:00:00 AM,066XX S SACRAMENTO AVE,0496,BATTERY,AGGRAVATED DOMESTIC BATTERY - KNIFE / CUTTING INSTRUMENT,RESIDENCE,true,true,0831,008,17,66,04B,1157528,1860365,2022,11/12/2022 03:46:21 PM,41.772596957,-87.698101125,"(41.772596957, -87.698101125)"
12737721,JF289211,06/21/2022 07:00:00 PM,037XX W 55TH ST,0560,ASSAULT,SIMPLE,RESIDENCE,false,false,0822,008,23,62,08A,1152217,1867866,2022,11/12/2022 03:46:21 PM,41.79328685,-87.717373024,"(41.79328685, -87.717373024)"
12738733,JF290309,06/15/2022 05:45:00 PM,086XX S ROCKWELL ST,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,false,false,0835,008,18,70,08A,1160330,1847037,2022,11/12/2022 03:46:21 PM,41.735965651,-87.688196056,"(41.735965651, -87.688196056)"
12755356,JF310566,07/08/2022 11:19:00 PM,055XX S WHIPPLE ST,031A,ROBBERY,ARMED - HANDGUN,SIDEWALK,false,false,0824,008,14,63,03,1156992,1867660,2022,11/12/2022 03:46:21 PM,41.792626339,-87.699868963,"(41.792626339, -87.699868963)"
12747933,JF301545,07/01/2022 02:57:00 PM,076XX S CICERO AVE,0820,THEFT,$500 AND UNDER,SMALL RETAIL STORE,false,false,0833,008,18,65,06,1145727,1853720,2022,11/12/2022 03:46:21 PM,41.754592961,-87.741528537,"(41.754592961, -87.741528537)"
