ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,Ward,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
7495691,HS299512,05/09/2010 09:00:00 PM,007XX W 31ST ST,0850,THEFT,ATTEMPT THEFT,DRUG STORE,false,false,0924,11,06,1171697,1884328,2010,02/10/2018 03:50:01 PM,41.83805499,-87.645458414,"(41.83805499, -87.645458414)"
7497843,HS299840,05/10/2010 04:45:00 AM,007XX W 31ST ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,0924,11,08B,1171922,1884333,2010,02/10/2018 03:50:01 PM,41.838063763,-87.644632641,"(41.838063763, -87.644632641)"
7518894,HS322369,05/23/2010 03:30:00 PM,007XX W 31ST ST,1320,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT/GARAGE(NON.RESID.),false,false,0924,11,14,1171697,1884328,2010,02/10/2018 03:50:01 PM,41.83805499,-87.645458414,"(41.83805499, -87.645458414)"
7528808,HS331548,05/28/2010 08:30:00 AM,007XX W 31ST ST,0560,ASSAULT,SIMPLE,DEPARTMENT STORE,false,false,0924,11,08A,1171697,1884328,2010,02/10/2018 03:50:01 PM,41.83805499,-87.645458414,"(41.83805499, -87.645458414)"
7518997,HS322438,05/22/2010 10:30:00 PM,007XX W 31ST ST,0460,BATTERY,SIMPLE,STREET,false,false,0924,11,08B,1171678,1884328,2010,02/10/2018 03:50:01 PM,41.838055408,-87.645528134,"(41.838055408, -87.645528134)"
7545930,HS349633,06/08/2010 06:45:00 PM,007XX W 31ST ST,1310,CRIMINAL DAMAGE,TO PROPERTY,RESTAURANT,false,false,0924,11,14,1172053,1884337,2010,02/10/2018 03:50:01 PM,41.838071856,-87.644151826,"(41.838071856, -87.644151826)"
7576555,HS380054,06/26/2010 12:30:00 PM,007XX W 31ST ST,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,DRUG STORE,false,false,0924,11,26,1171697,1884328,2010,02/10/2018 03:50:01 PM,41.83805499,-87.645458414,"(41.83805499, -87.645458414)"
7576954,HS379166,06/25/2010 11:30:00 PM,007XX W 31ST ST,1310,CRIMINAL DAMAGE,TO PROPERTY,DRUG STORE,false,false,0924,11,14,1171697,1884328,2010,02/10/2018 03:50:01 PM,41.83805499,-87.645458414,"(41.83805499, -87.645458414)"
7600013,HS404876,07/11/2010 05:00:00 AM,007XX W 31ST ST,0560,ASSAULT,SIMPLE,DRUG STORE,false,false,0924,11,08A,1171697,1884328,2010,02/10/2018 03:50:01 PM,41.83805499,-87.645458414,"(41.83805499, -87.645458414)"
7616579,HS420686,07/20/2010 04:00:00 PM,007XX W 31ST ST,0810,THEFT,OVER $500,PARKING LOT/GARAGE(NON.RESID.),false,false,0923,11,06,1171716,1884329,2010,02/10/2018 03:50:01 PM,41.838057317,-87.645388665,"(41.838057317, -87.645388665)"
7618954,HS422753,07/21/2010 07:50:00 PM,007XX W 31ST ST,0460,BATTERY,SIMPLE,SIDEWALK,true,false,0924,11,08B,1171970,1884335,2010,02/10/2018 03:50:01 PM,41.838068195,-87.644456449,"(41.838068195, -87.644456449)"
7753649,HS556925,10/10/2010 01:53:00 AM,007XX W 31ST ST,1310,CRIMINAL DAMAGE,TO PROPERTY,DRUG STORE,false,false,0924,11,14,1171697,1884328,2010,02/10/2018 03:50:01 PM,41.83805499,-87.645458414,"(41.83805499, -87.645458414)"
7764687,HS572792,10/10/2010 01:10:00 AM,007XX W 31ST ST,0420,BATTERY,AGGRAVATED:KNIFE/CUTTING INSTR,CONVENIENCE STORE,false,false,0924,11,04B,1171697,1884328,2010,02/04/2016 06:33:39 AM,41.83805499,-87.645458414,"(41.83805499, -87.645458414)"
7772226,HS580714,10/24/2010 07:11:00 PM,007XX W 31ST ST,0460,BATTERY,SIMPLE,PARKING LOT/GARAGE(NON.RESID.),true,false,0924,11,08B,1171697,1884328,2010,02/10/2018 03:50:01 PM,41.83805499,-87.645458414,"(41.83805499, -87.645458414)"
